Type,HTTP Method,Path,Method Name,Return Type,Parameters,External URL
Internal,N/A,/api/books,com/example/controller/BookController.<init>,void,com.example.service.BookService,N/A
Internal,GET,/api/books,com/example/controller/BookController.getAllBooks,java.util.List,,N/A
Internal,GET,/api/books/{id},com/example/controller/BookController.getBookById,org.springframework.http.ResponseEntity,java.lang.Long,N/A
Internal,POST,/api/books,com/example/controller/BookController.createBook,com.example.model.Book,com.example.model.Book,N/A
Internal,PUT,/api/books/{id},com/example/controller/BookController.updateBook,org.springframework.http.ResponseEntity,java.lang.Long;com.example.model.Book,N/A
Internal,DELETE,/api/books/{id},com/example/controller/BookController.deleteBook,org.springframework.http.ResponseEntity,java.lang.Long,N/A
Internal,GET,/api/books/{id}/with-author,com/example/controller/BookController.getBookWithAuthor,org.springframework.http.ResponseEntity,java.lang.Long,N/A
Internal,N/A,N/A,com/example/service/impl/BookServiceImpl.<init>,void,com.example.repository.BookRepository;com.example.service.AuthorServiceClient,N/A
Internal,N/A,N/A,com/example/service/impl/BookServiceImpl.getAllBooks,java.util.List,,N/A
Internal,N/A,N/A,com/example/service/impl/BookServiceImpl.getBookById,java.util.Optional,java.lang.Long,N/A
Internal,N/A,N/A,com/example/service/impl/BookServiceImpl.createBook,com.example.model.Book,com.example.model.Book,N/A
Internal,N/A,N/A,com/example/service/impl/BookServiceImpl.updateBook,java.util.Optional,java.lang.Long;com.example.model.Book,N/A
Internal,N/A,N/A,com/example/service/impl/BookServiceImpl.deleteBook,void,java.lang.Long,N/A
Internal,N/A,N/A,com/example/service/impl/BookServiceImpl.getBookWithAuthor,java.util.Optional,java.lang.Long,N/A
Internal,N/A,N/A,com/example/service/impl/BookServiceImpl.lambda$getBookWithAuthor$1,java.lang.String,com.example.model.Book,N/A
Internal,N/A,N/A,com/example/service/impl/BookServiceImpl.lambda$updateBook$0,com.example.model.Book,com.example.model.Book;com.example.model.Book,N/A
Internal,N/A,N/A,com/example/service/AuthorServiceClient.<init>,void,org.springframework.web.reactive.function.client.WebClient$Builder,N/A
Internal,N/A,N/A,com/example/service/AuthorServiceClient.getAuthor,reactor.core.publisher.Mono,java.lang.Long,N/A
Internal,N/A,N/A,com/example/service/AuthorServiceClient.lambda$getAuthor$1,reactor.core.publisher.Mono,org.springframework.web.reactive.function.client.ClientResponse,N/A
Internal,N/A,N/A,com/example/service/AuthorServiceClient.lambda$getAuthor$0,reactor.core.publisher.Mono,java.lang.Long;org.springframework.web.reactive.function.client.ClientResponse,N/A
